Real,Simple,Expansiva,Deslizante
43083.91,43973.61811914682,44363.417018401626,44363.417018401626
40612.19,44208.19829708338,44463.89624834299,44463.89624834299
50099.45,43094.042792181965,43478.12615373731,43478.12615373731
58085.04,39970.495650563236,43777.630363218785,43777.630363218785
53238.03,31895.384465942978,35841.19139898062,35841.19139898062
25839.54,18151.420834765435,20517.157529719472,20517.157529719472
2213.86,6129.9214187510315,6655.462891152203,6655.462891152203
1509.65,3507.7578581666944,4133.511307986826,4133.511307986826
3142.71,12851.318980499505,14581.601537956298,14581.601537956298
3040.15,26262.702766913175,28466.142890352607,28466.142890352607
9356.83,35562.341853758095,37616.90206119418,37616.90206119418
18094.21,42482.10977108836,44106.341317676306,44106.341317676306
33936.76,45496.96907460451,47258.39668143272,47258.39668143272
32356.9,45455.86814516544,47085.18617297411,47085.18617297411
42159.33,43483.297538286446,45257.05542394638,45257.05542394638
27685.92,37941.16716863632,37848.75375489473,37848.75375489473
37827.32,29716.52385608077,31476.411625270845,31476.411625270845
20855.99,17264.05176817596,22162.470186829567,22162.470186829567
10548.14,5941.846556550562,10716.93420738101,10716.93420738101
4415.15,1267.7446612003446,2198.2151919047533,2198.2151919047533
38275.56,7673.569093753546,4744.248446403444,4744.248446403444
43647.0,20357.849941289423,16194.381748123766,16194.381748123766
57002.38,30332.82168010354,28358.13813811958,28358.13813811958
58015.94,38171.04678957224,35781.7204766655,35781.7204766655
57336.37,42344.0530998373,40847.8171800828,40847.8171800828
56534.45,42854.8778345108,41806.036144616606,41806.036144616606
57317.93,41629.58387270927,41999.17963904262,41999.17963904262
55725.17,41822.15234004736,50807.66454871178,50807.66454871178
51469.7,34326.00660001993,40804.00706261873,40804.00706261873
41283.72,21342.138086889983,23123.267125153543,23123.267125153543
14824.35,8202.10919734478,8495.205135151744,8495.205135151744
14952.45,3542.0163511836527,5174.273674333543,5174.273674333543
46040.26,12019.083047991395,14089.178634907006,14089.178634907006
56558.05,26335.775588365195,27033.424308360816,27033.424308360816
58853.9,36639.27496763229,36257.16753808379,36257.16753808379
59414.73,43367.153644251826,43557.572513684034,43557.572513684034
58069.52,46493.51803267717,47446.81260416269,47446.81260416269
59114.45,46663.31697103023,47516.13231257439,47516.13231257439
56225.37,45044.696762602325,46314.36429122925,46314.36429122925
50674.42,42951.8451540494,48194.03907909155,48194.03907909155
44724.19,34904.375791692735,43163.81789117336,43163.81789117336
41073.01,19275.689483854174,26838.563451155424,26838.563451155424
14873.84,6263.7845409455895,11661.137369051874,11661.137369051874
13859.85,4780.896775153279,5439.725860255808,5439.725860255808
44219.54,15362.657165207267,14219.663472959995,14219.663472959995
54617.08,28508.976619539855,26095.36602508426,26095.36602508426
58990.06,36817.38671368599,32807.30603141427,32807.30603141427
58946.3,43000.830515304806,36684.57475258589,36684.57475258589
57594.21,45778.369578921796,39339.964941303726,39339.964941303726
57427.08,45513.216484270095,39281.91807936072,39281.91807936072
55733.21,43411.13742761493,37843.28906793833,37843.28906793833
48344.84,39108.76545953512,53896.58656930447,53896.58656930447
49826.85,31293.246201555132,40834.610853271486,40834.610853271486
12869.7,15792.235203447342,18073.452564581632,18073.452564581632
1485.47,4670.452017038762,4645.845971171409,4645.845971171409
11373.61,5897.815015065223,9913.478573585748,9913.478573585748
35565.85,17752.064522200228,25567.680261235237,25567.680261235237
54649.95,30278.98139215946,39601.513503739836,39601.513503739836
60340.94,37201.3581572175,46020.22442840695,46020.22442840695
56019.19,42909.16965379238,50825.197086030246,50825.197086030246
60824.87,44953.4642769742,53098.21741672992,53098.21741672992
62697.4,44446.267229969504,52168.42563024759,52168.42563024759
53855.89,41923.00591648221,50258.98450729012,50258.98450729012
40606.66,36791.1515852046,51943.41637296915,51943.41637296915
22472.69,27288.00886824548,37325.058447481395,37325.058447481395
6321.65,11672.851133942007,13838.40121745348,13838.40121745348
1449.36,2126.9914298722147,2760.414641161263,2760.414641161263
6466.54,4938.539100573659,12022.072995886505,12022.072995886505
37531.92,16566.046068276763,28556.111474159956,28556.111474159956
46725.65,28062.07251343906,41744.27283243417,41744.27283243417
56999.22,35419.1292349267,47929.07894654989,47929.07894654989
58096.69,41741.05422443867,50986.39763275981,50986.39763275981
49433.84,44395.26348504305,53159.309220769406,53159.309220769406
55231.69,43674.843306441304,52026.68338269472,52026.68338269472
53911.5,40681.38736017108,49885.89226752281,49885.89226752281
30967.13,37818.06506091356,45556.092665121556,45556.092665121556
27189.8,28558.892058165668,34076.066638123986,34076.066638123986
2641.43,13183.12504720211,15832.678132091165,15832.678132091165
298.14,2173.3346574358643,4195.2664192795755,4195.2664192795755
1655.94,1606.944553554505,4051.2833992238343,4051.2833992238343
1634.39,11700.626100061536,13707.2747803846,13707.2747803846
3415.13,24710.770263715982,25359.78095425427,25359.78095425427
9630.85,33440.129130541085,33501.44091138601,33501.44091138601
34448.05,41328.42404832363,41352.50186041474,41352.50186041474
52167.73,44628.0221006608,44956.28924226522,44956.28924226522
63196.79,44456.702620880606,44702.15042485476,44702.15042485476
57988.11,42358.33229598045,43250.365256769655,43250.365256769655
51109.79,39336.52249726057,49676.775369627474,49676.775369627474
50745.44,30466.11990572095,38744.67683182239,38744.67683182239
24187.96,15450.325640662908,21358.555303212404,21358.555303212404
8626.52,3500.331228956431,6560.619119634628,6560.619119634628
2807.88,1600.7152542370557,3575.086197602749,3575.086197602749
16386.99,11172.231200458109,12982.166587319374,12982.166587319374
44053.06,24428.32776400447,26875.44236962676,26875.44236962676
61765.41,33904.56191471815,36771.650834363696,36771.650834363696
60447.34,41607.466555656196,43696.87957940817,43696.87957940817
57522.93,45205.86643539429,47704.79522680521,47704.79522680521
56522.79,45012.093884489535,47395.35346865654,47395.35346865654
56354.08,43309.859334537985,47152.2327877295,47152.2327877295
39055.32,42125.921012160776,49315.04087965727,49315.04087965727
26995.6,33655.81445866227,39865.130619995594,39865.130619995594
24004.76,18850.792706403732,20583.389844370486,20583.389844370486
3171.84,5795.992286432684,6070.381994886845,6070.381994886845
1624.91,2632.589785795212,3998.772137812674,3998.772137812674
22313.82,11723.952324734031,13878.890457003712,13878.890457003712
52840.44,25051.676423528195,25876.68206577301,25876.68206577301
49809.24,34793.45345235586,34163.964738490584,34163.964738490584
52153.93,41701.149660081865,41034.43083670497,41034.43083670497
58215.65,45211.05325691223,44984.21471883058,44984.21471883058
56101.28,45020.23688553333,44698.754291718,44698.754291718
44797.83,43530.912868560554,43465.46783931852,43465.46783931852
15806.99,40604.491959319115,41751.87553956985,41751.87553956985
6433.32,31687.485158962012,31770.89110140681,31770.89110140681
3048.54,16620.220180671215,15052.767734963298,15052.767734963298
805.38,4350.880712923407,3456.5211114923654,3456.5211114923654
2396.15,2296.774931256473,3056.5236823165415,3056.5236823165415
15590.75,11736.864384327531,13247.163382661938,13247.163382661938
23958.73,24635.762032300234,25453.213207936882,25453.213207936882
40835.06,33997.874531892536,33815.008199447395,33815.008199447395
42429.97,41141.0848541677,41237.735715845825,41237.735715845825
52025.6,44625.606215043066,44478.4378729558,44478.4378729558
56393.88,44303.38264672518,44160.86083224773,44160.86083224773
51583.14,42686.201935638186,42109.13330858707,42109.13330858707
49764.3,39446.57264786005,44802.0739239192,44802.0739239192
48431.83,30030.423038971425,32935.13185159087,32935.13185159087
27451.43,14345.306891672015,14674.781976085305,14674.781976085305
1317.48,2770.531644590795,2870.3784412164987,2870.3784412164987
8018.52,2782.393025495112,3844.5847989726067,3844.5847989726067
24723.04,13746.128666052222,14574.011373357773,14574.011373357773
45928.16,26764.315490453242,26888.467312054632,26888.467312054632
49286.83,35350.04108104706,35354.417461702826,35354.417461702826
49260.17,42713.772361921074,42998.66933967233,42998.66933967233
56528.38,45767.5251083374,46513.616966059206,46513.616966059206
54623.24,45277.67149578333,45938.52813025713,45938.52813025713
56440.31,43186.91931498766,44667.30532702327,44667.30532702327
37921.26,42129.54098134518,49210.926243562695,49210.926243562695
25418.89,33123.23131646037,39158.39531423807,39158.39531423807
7066.75,17399.17348573327,19812.446396496296,19812.446396496296
1758.45,4260.605319361091,5257.034640925526,5257.034640925526
14620.07,1997.024695084691,3654.2136876626314,3654.2136876626314
45510.09,11880.653959867954,13633.990665422081,13633.990665422081
54345.67,25246.122412196994,25822.012040755748,25822.012040755748
56757.24,34835.750746877195,34580.41942362666,34580.41942362666
57560.87,41981.23030356645,41899.3989319396,41899.3989319396
55782.45,45603.4532854104,46126.72021693945,46126.72021693945
56817.35,45198.00129978895,45736.820977387426,45736.820977387426
56123.68,43694.19354683637,44703.35064917922,44703.35064917922
55350.63,43536.16529719591,52298.61330665112,52298.61330665112
52084.1,36099.965166274305,45446.56737146139,45446.56737146139
40792.24,19877.889496117234,25049.908890600203,25049.908890600203
6905.99,6072.12540755108,7612.6297297810015,7612.6297297810015
7263.26,5065.9336504343155,6149.112465405315,6149.112465405315
36315.42,16867.061171079873,20230.74194016218,20230.74194016218
53056.58,30883.456427699923,34033.0592430377,34033.0592430377
56966.26,39055.68544230461,39646.990813834665,39646.990813834665
59886.93,44567.497605224846,43418.39280295253,43418.39280295253
60174.63,46906.5495699811,45863.280625824926,45863.280625824926
60722.28,46509.62650962353,45393.965900263785,45393.965900263785
58002.02,44344.90809280634,42906.101556242706,42906.101556242706
55859.16,42207.459081380366,55276.497210640904,55276.497210640904
51535.11,33326.165708349945,41281.33357498884,41281.33357498884
35653.41,16392.67154202461,16828.79292541623,16828.79292541623
1332.66,3648.7321165215967,4290.683770669251,4290.683770669251
2629.9,3442.885443986207,11004.768068447112,11004.768068447112
9969.14,14866.305553597509,27152.003384224176,27152.003384224176
36878.68,27707.838460686206,40252.96130572796,40252.96130572796
47208.93,35763.24242500782,45934.04755006194,45934.04755006194
47907.16,42244.438340148925,47991.409567335846,47991.409567335846
51403.02,45205.75837661266,49522.205000998976,49522.205000998976
54335.44,44586.85942334652,47946.453254938126,47946.453254938126
38457.91,42433.336668154,46370.141918758156,46370.141918758156
30325.9,37987.23108354568,37459.11694381237,37459.11694381237
6428.9,28749.640892806052,28299.57992658496,28299.57992658496
6793.03,13656.220865309537,12904.14428774476,12904.14428774476
2963.42,2858.9454361964763,2198.1428311134873,2198.1428311134873
2331.32,2049.158715570718,2332.333024084568,2332.333024084568
9944.75,11669.832241730392,12974.453891780973,12974.453891780973
27564.37,24167.30791774988,25468.7119246155,25468.7119246155
50733.27,32722.94685614586,33721.57980500698,33721.57980500698
60503.65,40209.94233291507,40870.37059150457,40870.37059150457
53112.78,43374.33955322981,43751.4299679172,43751.4299679172
